reference_id,trade_date,time_of_trade,underlying,expiration_date,strike_price,trade_type,open_interest,ind,exchange_code,spread,premium_price,trade_size,bid_size,bid_price,ask_price,ask_size,edge,lean_size,size_ratio,trade_count,delta,theta,vega,gamma,sigma,rho
281400577,2018-02-13,11:51:05:679000,TUR,2019-01-18,40,P,664,ISOI,B,0.9,5.1,11,424,4.2,5.1,601,100,601,29.45,195,-0.342,-3.138,15.337,0.023,0.386,-18.04
281400578,2018-02-13,11:51:05:680000,TUR,2019-01-18,40,P,664,ISOI,I,0.9,5.1,10,357,4.2,5.1,566,100,566,36.93,195,-0.342,-3.138,15.337,0.023,0.386,-18.04
281400579,2018-02-13,11:51:05:683000,TUR,2019-01-18,40,P,664,ISOI,E,0.9,5.1,7,348,4.2,5.1,545,100,545,36.15,195,-0.342,-3.138,15.337,0.023,0.386,-18.04
281400580,2018-02-13,11:51:05:683000,TUR,2019-01-18,40,P,664,ISOI,E,0.9,5.1,4,348,4.2,5.1,545,100,545,36.15,195,-0.342,-3.138,15.337,0.023,0.386,-18.04
281400581,2018-02-13,11:51:05:684000,TUR,2019-01-18,40,P,664,AUTOX,A,0.9,5.1,1,348,4.2,5.1,545,100,545,36.15,195,-0.342,-3.138,15.337,0.023,0.386,-18.04
281400582,2018-02-13,11:51:05:684000,TUR,2019-01-18,40,P,664,ISOI,H,0.9,5.1,1,332,4.2,5.1,527,100,527,37,195,-0.342,-3.138,15.337,0.023,0.386,-18.04
281404284,2018-02-13,11:53:48:751000,XLV,2020-01-17,83,C,15,ISOI,X,1.15,8.95,61,281,7.8,8.95,588,100,588,52.21,10,0.547,-2.227,45.336,0.019,0.181,71.161
281404285,2018-02-13,11:53:48:751000,XLV,2020-01-17,83,C,15,ISOI,I,1.15,8.95,13,250,7.8,8.95,473,100,473,47.15,10,0.547,-2.227,45.336,0.019,0.181,71.161
281404286,2018-02-13,11:53:48:751000,XLV,2020-01-17,83,C,15,ISOI,A,1.15,8.95,10,240,7.8,8.95,436,100,436,44.95,10,0.547,-2.227,45.336,0.019,0.181,71.161
281404287,2018-02-13,11:53:48:752000,XLV,2020-01-17,83,C,15,ISOI,A,1.15,8.95,16,230,7.8,8.95,616,100,616,62.66,10,0.547,-2.227,45.336,0.019,0.181,71.161
281404288,2018-02-13,11:53:48:752000,XLV,2020-01-17,83,C,15,ISOI,A,1.15,8.95,20,230,7.8,8.95,616,100,616,62.66,10,0.547,-2.227,45.336,0.019,0.181,71.161
281404289,2018-02-13,11:53:48:752000,XLV,2020-01-17,83,C,15,ISOI,A,1.15,8.95,5,230,7.8,8.95,616,100,616,62.66,10,0.547,-2.227,45.336,0.019,0.181,71.161
281404290,2018-02-13,11:53:48:753000,XLV,2020-01-17,83,C,15,ISOI,C,1.15,8.95,31,195,7.8,8.95,543,100,543,64.09,10,0.547,-2.227,45.336,0.019,0.181,71.161
281404291,2018-02-13,11:53:48:753000,XLV,2020-01-17,83,C,15,ISOI,B,1.15,8.95,11,195,7.8,8.95,501,100,501,61.08,10,0.547,-2.227,45.336,0.019,0.181,71.161
281404292,2018-02-13,11:53:48:753000,XLV,2020-01-17,83,C,15,ISOI,B,1.15,8.95,11,195,7.8,8.95,501,100,501,61.08,10,0.547,-2.227,45.336,0.019,0.181,71.161
281404293,2018-02-13,11:53:48:758000,XLV,2020-01-17,83,C,15,ISOI,I,1.15,8.95,22,174,7.8,8.95,390,100,390,55.38,10,0.547,-2.227,45.336,0.019,0.181,71.161
281411135,2018-02-13,11:58:38:133000,TSLA,2020-01-17,440,C,28,ISOI,I,3.45,43.3,1,189,39.85,43.3,174,100,174,-8.62,1,0.413,-19.683,172.859,0.002,0.434,173.226
281412878,2018-02-13,11:59:48:026000,ICHR,2018-08-17,20,C,273,AUTOX,A,1.1,6.8,5,68,5.7,6.8,310,100,310,78.06,10,0.69,-4.225,5.67,0.029,0.751,4.906
281414219,2018-02-13,12:00:38:424000,SPY,2019-12-20,255,P,22668,REG,C,0.85,21.05,41,35,20.2,21.05,1630,100,1630,97.85,6,-0.386,-6.483,137.598,0.006,0.183,-226.969
